"okresVysledkyId","okresId","stranaId","hlasy","hlasyPct"
227,6,33,8,0.05
228,6,34,119,0.71
229,6,35,17,0.10
230,6,36,27,0.16
231,6,37,53,0.32
232,6,38,1,0.01
233,6,39,825,4.95
234,6,40,79,0.47
235,7,1,45,0.20
236,7,2,125,0.57
237,7,3,59,0.27
238,7,4,13,0.06
239,7,5,3877,17.56
240,7,6,418,1.89
241,7,7,776,3.51
242,7,8,8,0.04
243,7,9,1554,7.04
244,7,10,75,0.34
245,7,11,40,0.18
246,7,12,188,0.85
247,7,13,54,0.24
248,7,14,22,0.10
249,7,15,20,0.09
250,7,16,207,0.94
251,7,17,24,0.11
252,7,18,12,0.05
253,7,19,64,0.29
254,7,21,8,0.04
255,7,22,46,0.21
256,7,23,24,0.11
257,7,24,573,2.59
258,7,25,152,0.69
259,7,26,2660,12.04
260,7,27,3311,14.99
261,7,28,1926,8.72
262,7,29,21,0.10
263,7,30,4643,21.02
264,7,31,43,0.19
265,7,32,7,0.03
266,7,33,8,0.04
267,7,34,184,0.83
268,7,35,26,0.12
269,7,36,53,0.24
270,7,37,128,0.58
271,7,38,0,0.00
272,7,39,575,2.60
273,7,40,115,0.52
274,8,1,30,0.12
275,8,2,111,0.43
276,8,3,55,0.21
277,8,4,14,0.05
278,8,5,4531,17.39
279,8,6,507,1.95
280,8,7,1260,4.84
281,8,8,11,0.04
282,8,9,1744,6.69
283,8,10,54,0.21
284,8,11,65,0.25
285,8,12,330,1.27
286,8,13,72,0.28
287,8,14,32,0.12
288,8,15,43,0.17
289,8,16,218,0.84
290,8,17,14,0.05
291,8,18,14,0.05
292,8,19,95,0.36
293,8,21,12,0.05
294,8,22,49,0.19
295,8,23,27,0.10
296,8,24,604,2.32
297,8,25,139,0.53
298,8,26,2904,11.15
299,8,27,3562,13.67
300,8,28,2276,8.74
301,8,29,24,0.09
302,8,30,6098,23.41
303,8,31,57,0.22
304,8,32,7,0.03
305,8,33,11,0.04
306,8,34,174,0.67
307,8,35,22,0.08
308,8,36,51,0.20
309,8,37,106,0.41
310,8,38,1,0.00
311,8,39,618,2.37
312,8,40,110,0.42
313,9,1,28,0.13
314,9,2,92,0.41
315,9,3,67,0.30
316,9,4,15,0.07
317,9,5,3680,16.52
318,9,6,402,1.81
319,9,7,852,3.83
320,9,8,19,0.09
321,9,9,1357,6.09
322,9,10,29,0.13
323,9,11,50,0.22
324,9,12,244,1.10
325,9,13,57,0.26
326,9,14,27,0.12
327,9,15,31,0.14
328,9,16,199,0.89
329,9,17,10,0.04
330,9,18,5,0.02
331,9,19,72,0.32
332,9,21,8,0.04
333,9,22,49,0.22
334,9,23,19,0.09
335,9,24,566,2.54
336,9,25,135,0.61
337,9,26,2870,12.89
338,9,27,3364,15.10
339,9,28,1836,8.24
340,9,29,30,0.13
341,9,30,4829,21.68
342,9,31,42,0.19
343,9,32,11,0.05
344,9,33,11,0.05
345,9,34,170,0.76
346,9,35,17,0.08
347,9,36,42,0.19
348,9,37,100,0.45
349,9,38,2,0.01
350,9,39,833,3.74
351,9,40,101,0.45
352,10,1,55,0.12
353,10,2,205,0.46
354,10,3,158,0.35
355,10,4,27,0.06
356,10,5,10005,22.36
357,10,6,536,1.20
358,10,7,1113,2.49
359,10,8,19,0.04
360,10,9,1635,3.65
361,10,10,52,0.12
362,10,11,48,0.11
363,10,12,284,0.63
364,10,13,75,0.17
365,10,14,32,0.07
366,10,15,49,0.11
367,10,16,403,0.90
368,10,17,27,0.06
369,10,18,11,0.02
370,10,19,127,0.28
371,10,21,5,0.01
372,10,22,85,0.19
373,10,23,40,0.09
374,10,24,1642,3.67
375,10,25,328,0.73
376,10,26,7675,17.15
377,10,27,7568,16.92
378,10,28,2843,6.35
379,10,29,23,0.05
380,10,30,6883,15.38
381,10,31,44,0.10
382,10,32,13,0.03
383,10,33,19,0.04
384,10,34,283,0.63
385,10,35,57,0.13
386,10,36,156,0.35
387,10,37,313,0.70
388,10,38,2,0.00
389,10,39,1701,3.80
390,10,40,200,0.45
391,11,1,43,0.11
392,11,2,162,0.40
393,11,3,123,0.31
394,11,4,23,0.06
395,11,5,8411,20.93
396,11,6,461,1.15
397,11,7,831,2.07
398,11,8,17,0.04
399,11,9,1345,3.35
400,11,10,47,0.12
401,11,11,47,0.12
402,11,12,224,0.56
403,11,13,69,0.17
404,11,14,35,0.09
405,11,15,48,0.12
406,11,16,322,0.80
407,11,17,26,0.06
408,11,18,10,0.02
409,11,19,80,0.20
410,11,21,11,0.03
411,11,22,126,0.31
412,11,23,35,0.09
413,11,24,1689,4.20
414,11,25,281,0.70
415,11,26,8441,21.01
416,11,27,7007,17.44
417,11,28,2312,5.75
418,11,29,16,0.04
419,11,30,5425,13.50
420,11,31,38,0.09
421,11,32,14,0.03
422,11,33,4,0.01
423,11,34,264,0.66
424,11,35,35,0.09
425,11,36,104,0.26
426,11,37,339,0.84
427,11,38,4,0.01
428,11,39,1525,3.80
429,11,40,190,0.47
430,12,1,112,0.41
431,12,2,125,0.45
432,12,3,74,0.27
433,12,4,19,0.07
434,12,5,3943,14.30
435,12,6,449,1.63
436,12,7,1114,4.04
437,12,8,10,0.04
438,12,9,2075,7.53
439,12,10,61,0.22
440,12,11,54,0.20
441,12,12,289,1.05
442,12,13,63,0.23
443,12,14,24,0.09
444,12,15,37,0.13
445,12,16,234,0.85
446,12,17,27,0.10
447,12,18,13,0.05
448,12,19,103,0.37
449,12,21,12,0.04
450,12,22,52,0.19
451,12,23,18,0.07
452,12,24,754,2.74
453,12,25,132,0.48
454,12,26,3298,11.96
455,12,27,4183,15.18
456,12,28,2445,8.87
457,12,29,24,0.09
458,12,30,5797,21.03
459,12,31,47,0.17
460,12,32,16,0.06
461,12,33,10,0.04
462,12,34,173,0.63
463,12,35,31,0.11
464,12,36,78,0.28
465,12,37,115,0.42
466,12,38,6,0.02
467,12,39,1438,5.22
468,12,40,109,0.40
469,13,1,19,0.16
470,13,2,65,0.56
471,13,3,33,0.28
472,13,4,10,0.09
473,13,5,1688,14.47
474,13,6,225,1.93
475,13,7,588,5.04
476,13,8,8,0.07
477,13,9,1213,10.40
478,13,10,30,0.26
479,13,11,42,0.36
480,13,12,112,0.96
481,13,13,28,0.24
482,13,14,13,0.11
483,13,15,22,0.19
484,13,16,110,0.94
485,13,17,2,0.02
486,13,18,3,0.03
487,13,19,42,0.36
488,13,21,8,0.07
489,13,22,33,0.28
490,13,23,10,0.09
491,13,24,264,2.26
492,13,25,67,0.57
493,13,26,1130,9.69
494,13,27,1643,14.08
495,13,28,1011,8.67
496,13,29,20,0.17
497,13,30,2630,22.54
498,13,31,32,0.27
499,13,32,6,0.05
500,13,33,5,0.04
501,13,34,82,0.70
502,13,35,15,0.13
503,13,36,33,0.28
504,13,37,73,0.63
505,13,38,3,0.03
506,13,39,273,2.34
507,13,40,75,0.64
508,14,1,53,0.12
509,14,2,261,0.58
510,14,3,185,0.41
511,14,4,49,0.11
512,14,5,6858,15.14
513,14,6,704,1.55
514,14,7,1448,3.20
515,14,8,20,0.04
516,14,9,3138,6.93
517,14,10,77,0.17
518,14,11,65,0.14
519,14,12,352,0.78
520,14,13,129,0.28
521,14,14,55,0.12
522,14,15,47,0.10
523,14,16,400,0.88
524,14,17,32,0.07
525,14,18,13,0.03
526,14,19,134,0.30
527,14,21,31,0.07
528,14,22,43,0.09
529,14,23,31,0.07
530,14,24,1122,2.48
531,14,25,310,0.68
532,14,26,5705,12.60
533,14,27,6415,14.16
534,14,28,4166,9.20
535,14,29,31,0.07
536,14,30,9133,20.17
537,14,31,72,0.16
538,14,32,21,0.05
539,14,33,14,0.03
540,14,34,266,0.59
541,14,35,89,0.20
542,14,36,200,0.44
543,14,37,242,0.53
544,14,38,4,0.01
545,14,39,3129,6.91
546,14,40,244,0.54
547,15,1,16,0.13
548,15,2,58,0.47
549,15,3,40,0.32
550,15,4,14,0.11
551,15,5,1784,14.40
552,15,6,193,1.56
553,15,7,422,3.41
554,15,8,18,0.15
555,15,9,1029,8.30
556,15,10,78,0.63
557,15,11,13,0.10
558,15,12,126,1.02
559,15,13,40,0.32
560,15,14,7,0.06
561,15,15,23,0.19
562,15,16,102,0.82
563,15,17,11,0.09
564,15,18,7,0.06
565,15,19,34,0.27
566,15,21,2,0.02
567,15,22,8,0.06
568,15,23,4,0.03
569,15,24,270,2.18
570,15,25,59,0.48
571,15,26,1244,10.04
572,15,27,1569,12.66
573,15,28,1247,10.06
574,15,29,6,0.05
575,15,30,2650,21.38
576,15,31,13,0.10
577,15,32,6,0.05
578,15,33,4,0.03
579,15,34,88,0.71
580,15,35,10,0.08
581,15,36,52,0.42
582,15,37,59,0.48
583,15,38,3,0.02
584,15,39,1016,8.20
585,15,40,68,0.55
586,16,1,50,0.23
587,16,2,80,0.37
588,16,3,51,0.24
589,16,4,12,0.06
590,16,5,2838,13.26
591,16,6,372,1.74
592,16,7,1046,4.89
593,16,8,9,0.04
594,16,9,1848,8.63
595,16,10,42,0.20
596,16,11,63,0.29
597,16,12,174,0.81
598,16,13,42,0.20
599,16,14,14,0.07
600,16,15,23,0.11
601,16,16,159,0.74
602,16,17,10,0.05
603,16,18,8,0.04
604,16,19,70,0.33
605,16,21,71,0.33
606,16,22,9,0.04
607,16,23,14,0.07
608,16,24,365,1.71
609,16,25,310,1.45
610,16,26,2019,9.43
611,16,27,2943,13.75
612,16,28,2069,9.67
613,16,29,21,0.10
614,16,30,4692,21.92
615,16,31,48,0.22
616,16,32,21,0.10
617,16,33,20,0.09
618,16,34,114,0.53
619,16,35,16,0.07
620,16,36,61,0.28
621,16,37,78,0.36
622,16,38,1,0.00
623,16,39,1518,7.09
624,16,40,105,0.49
625,17,1,18,0.11
626,17,2,79,0.48
627,17,3,46,0.28
628,17,4,9,0.05
629,17,5,2507,15.27
630,17,6,257,1.57
631,17,7,664,4.05
632,17,8,3,0.02
633,17,9,1413,8.61
634,17,10,34,0.21
635,17,11,38,0.23
636,17,12,143,0.87
637,17,13,35,0.21
638,17,14,15,0.09
639,17,15,21,0.13
640,17,16,143,0.87
641,17,17,4,0.02
642,17,18,4,0.02
643,17,19,46,0.28
644,17,21,3,0.02
645,17,22,15,0.09
646,17,23,13,0.08
647,17,24,328,2.00
648,17,25,82,0.50
649,17,26,1855,11.30
650,17,27,2309,14.07
651,17,28,1476,8.99
652,17,29,54,0.33
653,17,30,3408,20.76
654,17,31,45,0.27
655,17,32,4,0.02
656,17,33,2,0.01
657,17,34,99,0.60
658,17,35,37,0.23
659,17,36,42,0.26
660,17,37,96,0.58
661,17,38,1,0.01
662,17,39,1006,6.13
663,17,40,59,0.36
664,18,1,11,0.10
665,18,2,55,0.51
666,18,3,21,0.20
667,18,4,6,0.06
668,18,5,1583,14.73
669,18,6,162,1.51
670,18,7,420,3.91
671,18,8,7,0.07
672,18,9,922,8.58
673,18,10,19,0.18
674,18,11,22,0.20
675,18,12,117,1.09
676,18,13,22,0.20
677,18,14,15,0.14
678,18,15,17,0.16
679,18,16,66,0.61
680,18,17,6,0.06
681,18,18,3,0.03
682,18,19,41,0.38
683,18,21,1,0.01
684,18,22,9,0.08
685,18,23,17,0.16
