"okresId","nuts4","nuts3","krajId","nazev","okrsky","zpracovano","pocetVolicu","vydaneObalky","ucast","odevzdaneObalky","platneHlasy"
66,"CZ0714","CZ071",12,"Přerov",208,208,105833,27697,26.17,27689,27495
67,"CZ0715","CZ071",12,"Šumperk",191,191,98745,26120,26.45,26112,25896
68,"CZ0721","CZ072",13,"Kroměříž",166,166,86490,24845,28.73,24839,24672
69,"CZ0722","CZ072",13,"Uherské Hradiště",151,151,116137,32937,28.36,32927,32729
70,"CZ0723","CZ072",13,"Vsetín",151,151,116684,31618,27.10,31614,31460
71,"CZ0724","CZ072",13,"Zlín",217,217,155557,45200,29.06,45191,44896
72,"CZ0801","CZ080",14,"Bruntál",141,141,76483,16529,21.61,16518,16358
73,"CZ0802","CZ080",14,"Frýdek-Místek",212,212,172944,44769,25.89,44757,44425
74,"CZ0803","CZ080",14,"Karviná",256,256,205460,41565,20.23,41546,41168
75,"CZ0804","CZ080",14,"Nový Jičín",166,166,122323,33060,27.03,33054,32827
76,"CZ0805","CZ080",14,"Opava",207,207,143474,34508,24.05,34493,34232
77,"CZ0806","CZ080",14,"Ostrava-město",325,325,260323,62614,24.05,62596,62079
