"obecVysledkyId","obecId","nuts5","stranaId","hlasy","hlasyPct"
172,5,"500143",18,1,0.00
173,5,"500143",19,35,0.15
174,5,"500143",21,8,0.03
175,5,"500143",22,19,0.08
176,5,"500143",23,12,0.05
177,5,"500143",24,912,3.99
178,5,"500143",25,231,1.01
179,5,"500143",26,5429,23.75
180,5,"500143",27,4440,19.42
181,5,"500143",28,1223,5.35
182,5,"500143",29,6,0.03
183,5,"500143",30,2565,11.22
184,5,"500143",31,14,0.06
185,5,"500143",32,4,0.02
186,5,"500143",33,10,0.04
187,5,"500143",34,105,0.46
188,5,"500143",35,17,0.07
189,5,"500143",36,37,0.16
190,5,"500143",37,275,1.20
191,5,"500143",38,2,0.01
192,5,"500143",39,1165,5.10
193,5,"500143",40,80,0.35
194,6,"500178",1,41,0.12
195,6,"500178",2,111,0.32
196,6,"500178",3,79,0.23
197,6,"500178",4,22,0.06
198,6,"500178",5,6155,18.02
199,6,"500178",6,225,0.66
200,6,"500178",7,974,2.85
201,6,"500178",8,21,0.06
202,6,"500178",9,1238,3.62
203,6,"500178",10,24,0.07
204,6,"500178",11,15,0.04
205,6,"500178",12,113,0.33
206,6,"500178",13,49,0.14
207,6,"500178",14,17,0.05
208,6,"500178",15,13,0.04
209,6,"500178",16,208,0.61
210,6,"500178",17,15,0.04
211,6,"500178",18,4,0.01
212,6,"500178",19,48,0.14
213,6,"500178",21,11,0.03
214,6,"500178",22,33,0.10
215,6,"500178",23,17,0.05
216,6,"500178",24,1335,3.91
217,6,"500178",25,237,0.69
218,6,"500178",26,8617,25.23
219,6,"500178",27,6648,19.46
220,6,"500178",28,1581,4.63
221,6,"500178",29,12,0.04
222,6,"500178",30,3667,10.74
223,6,"500178",31,15,0.04
224,6,"500178",32,10,0.03
225,6,"500178",33,6,0.02
226,6,"500178",34,140,0.41
227,6,"500178",35,26,0.08
228,6,"500178",36,36,0.11
229,6,"500178",37,382,1.12
230,6,"500178",38,4,0.01
231,6,"500178",39,1859,5.44
232,6,"500178",40,146,0.43
233,7,"500186",1,7,0.06
234,7,"500186",2,39,0.32
235,7,"500186",3,36,0.29
236,7,"500186",4,7,0.06
237,7,"500186",5,2224,18.04
238,7,"500186",6,84,0.68
239,7,"500186",7,337,2.73
240,7,"500186",8,8,0.06
241,7,"500186",9,300,2.43
242,7,"500186",10,10,0.08
243,7,"500186",11,6,0.05
244,7,"500186",12,50,0.41
245,7,"500186",13,20,0.16
246,7,"500186",14,4,0.03
247,7,"500186",15,4,0.03
248,7,"500186",16,50,0.41
249,7,"500186",17,2,0.02
250,7,"500186",18,4,0.03
251,7,"500186",19,17,0.14
252,7,"500186",21,4,0.03
253,7,"500186",22,11,0.09
254,7,"500186",23,13,0.11
255,7,"500186",24,420,3.41
256,7,"500186",25,104,0.84
257,7,"500186",26,3217,26.10
258,7,"500186",27,2803,22.74
259,7,"500186",28,578,4.69
260,7,"500186",29,5,0.04
261,7,"500186",30,1021,8.28
262,7,"500186",31,9,0.07
263,7,"500186",33,1,0.01
264,7,"500186",34,58,0.47
265,7,"500186",35,8,0.06
266,7,"500186",36,19,0.15
267,7,"500186",37,171,1.39
268,7,"500186",38,3,0.02
269,7,"500186",39,606,4.92
270,7,"500186",40,65,0.53
271,8,"500208",1,27,0.10
272,8,"500208",2,96,0.34
273,8,"500208",3,78,0.28
274,8,"500208",4,23,0.08
275,8,"500208",5,4858,17.14
276,8,"500208",6,258,0.91
277,8,"500208",7,871,3.07
278,8,"500208",8,11,0.04
279,8,"500208",9,1449,5.11
280,8,"500208",10,22,0.08
281,8,"500208",11,27,0.10
282,8,"500208",12,131,0.46
283,8,"500208",13,40,0.14
284,8,"500208",14,9,0.03
285,8,"500208",15,28,0.10
286,8,"500208",16,170,0.60
287,8,"500208",17,184,0.65
288,8,"500208",18,11,0.04
289,8,"500208",19,45,0.16
290,8,"500208",21,6,0.02
291,8,"500208",22,29,0.10
292,8,"500208",23,24,0.08
293,8,"500208",24,955,3.37
294,8,"500208",25,247,0.87
295,8,"500208",26,5247,18.52
296,8,"500208",27,5495,19.39
297,8,"500208",28,1749,6.17
298,8,"500208",29,13,0.05
299,8,"500208",30,4194,14.80
300,8,"500208",31,28,0.10
301,8,"500208",32,8,0.03
302,8,"500208",33,9,0.03
303,8,"500208",34,150,0.53
304,8,"500208",35,27,0.10
305,8,"500208",36,38,0.13
306,8,"500208",37,233,0.82
307,8,"500208",38,3,0.01
308,8,"500208",39,1418,5.00
309,8,"500208",40,125,0.44
310,9,"500216",1,15,0.12
